workout,weight
Standing rows,1
Bicep curls,0.5
Tricep extensions (standing),1
Tricep extensions (supine),0.5
Overhead press,1.5
Wolverines,1
Push ups,1.5
Slow motion push ups,1.5
Bench press,1.5
Tricep kick backs,1
Pull ups,1.5
