workout,weight
Plank,1
Plank with elbow/knee crunch,1
Side plank,1
Side plank with crunch,1
V-ups,1
Boat pose,1
Boat pose with alternating arm/leg extension,1
V sit with side twist,1
Supermans,1
Superman with cactus arms,1
Mountain climbers,1
Inchworms,1
Flutter kicks,1
